,preds,acc,f1
knn,"[-1  0  0  0  0 -1  0  0  0  0 -1 -1  0 -1 -1  0 -1  0  0  0 -1 -1 -1  0
  0  0 -1 -1 -1 -1  0 -1  0 -1  0 -1 -1  0  0 -1 -1 -1 -1  0  0  0 -1 -1
  0  0 -1  0  0  0 -1  0  0  0  0  0 -1  0  0  0  0  0  0 -1  0  0  0 -1
 -1  0 -1  0  0  0  0 -1  0  0  0  0 -1  0  0  0  0 -1  0 -1 -1  0  0  0
  0  0  0 -1  0  0 -1 -1  0 -1 -1  0  0 -1  0  0 -1  0  0  0 -1  0  0 -1
 -1  0 -1  0  0 -1  0 -1  0  0 -1 -1  0  0  0  0 -1  0  0  0  0  0 -1  0
  0  0 -1  0  0  0 -1  0 -1  0 -1  0  0  0  0  0 -1  0  0  0 -1 -1 -1 -1
 -1  0 -1  0  0  0  0  0 -1  0  0  0  0  0 -1  0  0  0 -1  0  0  0  0 -1
 -1 -1  0 -1  0  0  0  0 -1  0 -1  0  0  0  0  0  0  0 -1  0 -1  0 -1  0
  0  0  0  0  0  0 -1  0  0  0  0  0  0 -1  0 -1  0  0  0 -1  0  0  0 -1
  0  0  0  0 -1  0 -1  0  0 -1 -1 -1 -1  0  0  0 -1 -1  0  0 -1  0  0  0
 -1 -1  0  0 -1 -1 -1  0  0 -1 -1  0 -1 -1  0  0  0 -1 -1  0 -1  0  0  0
  0  0  0 -1  0  0 -1 -1  0  0 -1  0  0  0 -1  0  0 -1  0 -1  0  0 -1 -1
  0  0  0 -1 -1  0  0  0  0  0  0 -1 -1  0  0  0  0  0 -1  0 -1  0 -1  0
  0 -1  0  0  0  0  0  0  0  0  0  0  0 -1 -1  0 -1  0 -1  0 -1  0  0  0
 -1  0  0  0 -1  0  0 -1  0 -1  0  0 -1  0 -1 -1  0 -1  0  0  0  0  0 -1
  0]",0.7766233766233767,0.7712081857536403
mnb,"[-1  0  0  0  0 -1  0  0  0  0 -1 -1  0  0 -1  0 -1  0  0  0 -1 -1  0  0
  0 -1 -1 -1 -1 -1  0 -1  0 -1  0 -1 -1  0  0 -1  0 -1 -1  0 -1  0 -1 -1
  0  0 -1  0  0  0 -1  0  0  0 -1  0 -1 -1  0  0  0  0 -1 -1  0  0  0 -1
 -1  0 -1  0  0  0  0  0  0  0  0  0 -1  0  0  0  0  0 -1 -1  0  0  0  0
  0  0 -1 -1  0  0  0  0  0 -1 -1  0  0  0  0  0 -1  0  0 -1 -1  0  0 -1
 -1  0 -1  0  0 -1 -1  0  0  0 -1  0  0 -1  0  0 -1  0  0  0 -1  0 -1  0
  0 -1 -1  0  0  0 -1  0 -1  0 -1  0  0  0 -1  0 -1  0  0  0 -1 -1 -1 -1
 -1 -1 -1  0 -1  0  0 -1 -1  0  0  0  0  0 -1  0  0  0 -1  0  0  0  0 -1
 -1 -1  0  0  0  0  0  0 -1  0 -1  0  0  0  0  0  0  0 -1  0  0  0 -1 -1
  0  0  0  0  0  0 -1  0  0  0  0  0  0 -1  0  0 -1  0  0 -1  0  0  0 -1
  0  0  0  0  0  0 -1  0  0 -1  0 -1 -1  0  0  0 -1  0  0  0 -1  0  0  0
 -1 -1  0  0 -1 -1 -1  0  0 -1 -1  0 -1 -1  0  0  0  0 -1  0 -1  0  0  0
  0  0  0 -1  0  0 -1 -1  0  0  0 -1  0 -1 -1  0  0 -1  0 -1  0  0 -1  0
  0  0  0 -1 -1  0 -1  0  0  0  0 -1 -1  0  0 -1  0  0 -1  0 -1  0 -1 -1
 -1 -1  0  0 -1  0  0  0 -1  0  0  0  0  0 -1  0 -1  0 -1  0  0  0  0  0
 -1  0  0  0 -1  0  0 -1  0  0  0  0  0  0  0 -1  0 -1  0  0 -1  0  0 -1
  0]",0.8389610389610389,0.8353220031879878
svm,"[-1 -1  0  0 -1 -1  0  0  0  0 -1 -1  0  0 -1 -1 -1  0  0 -1 -1 -1 -1  0
  0 -1 -1 -1 -1 -1  0 -1 -1 -1  0 -1 -1  0  0 -1 -1 -1 -1 -1 -1  0 -1 -1
  0  0 -1 -1 -1 -1 -1  0  0  0 -1  0 -1 -1  0 -1  0 -1 -1 -1  0 -1  0 -1
 -1 -1 -1  0  0 -1 -1 -1  0 -1 -1  0 -1 -1  0  0  0 -1 -1 -1 -1 -1  0  0
 -1  0 -1 -1 -1 -1 -1  0  0 -1 -1  0  0 -1  0  0 -1  0 -1 -1 -1 -1  0 -1
 -1 -1 -1  0 -1 -1 -1 -1  0 -1 -1 -1  0 -1  0  0 -1 -1 -1  0 -1  0 -1 -1
 -1 -1 -1 -1  0  0 -1  0 -1 -1 -1  0  0  0 -1  0 -1  0  0  0 -1 -1 -1 -1
 -1 -1 -1 -1 -1  0  0 -1 -1  0  0 -1  0  0 -1  0 -1 -1 -1  0 -1  0  0 -1
 -1 -1  0 -1  0  0  0 -1 -1  0 -1  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1
  0 -1  0  0 -1  0 -1 -1  0  0 -1  0  0 -1  0  0 -1  0  0 -1 -1  0 -1 -1
  0  0  0  0 -1 -1 -1 -1  0 -1 -1 -1 -1  0  0  0 -1 -1  0  0 -1 -1  0 -1
 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  0  0  0 -1 -1 -1  0 -1  0
  0 -1  0 -1 -1  0 -1 -1  0  0  0 -1  0 -1 -1  0 -1 -1  0 -1 -1 -1 -1 -1
 -1 -1  0 -1 -1 -1 -1 -1  0  0 -1 -1 -1  0 -1 -1  0  0 -1 -1 -1  0 -1 -1
 -1 -1  0  0 -1 -1 -1  0 -1  0 -1 -1  0 -1 -1  0 -1  0 -1  0  0  0  0  0
 -1  0  0  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1  0 -1 -1  0 -1  0  0 -1
  0]",0.9064935064935065,0.9056563482374161
tree,"[-1 -1  0  0  0 -1  0  0  0  0 -1 -1  0  0 -1  0 -1  0  0 -1  0 -1 -1  0
  0 -1 -1 -1 -1 -1  0 -1  0  0  0 -1 -1  0  0 -1 -1 -1  0  0 -1  0 -1 -1
  0  0 -1  0  0  0 -1  0  0  0  0  0 -1 -1  0  0  0 -1 -1 -1  0  0  0 -1
 -1 -1 -1  0  0 -1  0 -1  0  0 -1  0 -1  0  0  0  0  0  0 -1 -1 -1  0  0
 -1  0 -1  0 -1  0 -1  0  0 -1 -1  0  0  0  0  0 -1  0 -1 -1 -1 -1  0 -1
 -1  0 -1  0  0 -1  0 -1  0  0 -1 -1  0  0  0  0 -1 -1  0  0 -1  0 -1 -1
  0 -1 -1 -1  0  0  0  0 -1  0 -1  0  0  0 -1  0  0  0  0  0  0 -1 -1 -1
 -1 -1 -1  0 -1  0  0 -1 -1  0  0 -1  0  0 -1  0  0 -1  0  0  0  0  0 -1
 -1 -1  0 -1  0  0  0 -1 -1  0 -1  0  0  0 -1  0  0  0 -1  0  0  0 -1 -1
  0 -1  0  0  0  0 -1  0  0  0 -1  0  0 -1  0  0 -1  0  0 -1 -1  0 -1 -1
  0  0  0  0  0 -1 -1 -1  0 -1  0  0 -1  0  0  0 -1 -1  0  0 -1  0  0  0
 -1 -1  0  0 -1 -1 -1  0  0 -1 -1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0
  0 -1  0 -1  0  0 -1 -1  0  0  0 -1  0 -1  0  0 -1 -1  0 -1  0  0 -1 -1
  0  0  0 -1 -1 -1 -1  0  0  0 -1 -1 -1  0 -1 -1  0  0 -1 -1 -1  0 -1 -1
 -1 -1  0  0 -1  0 -1  0 -1  0  0  0  0 -1 -1  0 -1  0 -1  0  0  0  0  0
 -1  0  0  0 -1  0  0 -1  0  0  0  0 -1  0 -1 -1  0 -1 -1  0 -1  0  0 -1
  0]",0.8961038961038961,0.8955861601295466
