,preds,acc,f1
knn,"[-1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1 -1  1  1 -1  1  1 -1  1 -1 -1
 -1 -1 -1  1 -1  1 -1  1  1  1  1  1  1 -1 -1 -1  1  1  1  1 -1  1  1  1
 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1  1 -1  1  1 -1
  1 -1  1  1 -1  1 -1  1  1 -1  1  1 -1 -1  1 -1  1  1 -1  1  1 -1  1 -1
  1  1  1  1  1  1 -1 -1 -1 -1  1 -1 -1  1 -1 -1  1  1  1  1  1  1  1 -1
  1  1  1 -1  1  1  1  1 -1  1 -1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1  1
 -1  1 -1  1 -1 -1  1 -1 -1  1  1  1 -1  1  1  1  1  1 -1 -1  1  1  1  1
  1  1  1  1  1  1 -1 -1  1  1 -1 -1 -1  1 -1  1 -1  1  1  1 -1 -1 -1 -1
 -1 -1 -1  1  1 -1 -1  1  1 -1  1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1
  1 -1  1 -1 -1  1 -1  1  1 -1  1 -1  1 -1 -1  1 -1  1 -1 -1  1  1  1 -1
  1  1 -1 -1 -1  1  1 -1 -1  1 -1  1  1  1 -1  1  1  1 -1 -1  1  1 -1  1
  1  1 -1 -1 -1  1  1 -1  1  1  1  1 -1  1 -1 -1 -1  1  1  1  1 -1  1 -1
  1  1  1  1  1  1  1  1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1  1 -1 -1  1
  1  1 -1 -1  1  1  1 -1  1  1  1  1 -1  1 -1 -1  1  1 -1  1  1  1  1  1
  1  1 -1 -1  1 -1  1 -1 -1 -1 -1  1  1  1  1  1 -1 -1 -1  1 -1 -1  1  1
  1 -1  1 -1 -1 -1  1  1 -1  1  1  1  1 -1 -1 -1  1  1  1 -1  1 -1 -1  1
 -1]",0.6519480519480519,0.651004821736529
mnb,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1  1 -1 -1  1 -1  1  1 -1
 -1  1 -1  1  1  1 -1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1  1  1  1
 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1  1 -1  1 -1  1
  1 -1  1 -1 -1  1 -1 -1 -1 -1  1 -1  1  1  1 -1 -1  1  1  1 -1 -1 -1 -1
  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1  1  1 -1  1  1  1  1 -1
 -1  1  1 -1 -1  1 -1  1 -1 -1 -1  1 -1  1 -1 -1 -1  1  1 -1  1 -1  1  1
 -1 -1 -1  1 -1 -1  1 -1  1 -1  1 -1 -1 -1  1  1  1 -1  1 -1  1  1  1 -1
  1  1 -1 -1  1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1
 -1  1 -1  1 -1 -1  1  1  1 -1  1 -1 -1 -1 -1  1 -1  1  1 -1 -1 -1  1  1
  1  1 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1 -1  1 -1 -1  1 -1  1 -1
  1  1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1
  1  1  1 -1 -1 -1  1 -1  1  1  1  1  1  1 -1 -1 -1 -1  1  1  1 -1  1 -1
 -1 -1 -1  1  1  1  1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1  1 -1 -1  1
 -1 -1 -1 -1  1  1  1  1 -1 -1  1  1 -1 -1  1 -1  1  1 -1  1  1 -1 -1  1
 -1  1 -1 -1  1 -1  1 -1  1 -1 -1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1
  1 -1 -1 -1  1 -1 -1  1 -1  1  1  1  1 -1  1  1 -1  1  1 -1 -1 -1 -1  1
 -1]",0.7558441558441559,0.7551146722626282
svm,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1  1  1 -1  1  1 -1  1  1 -1
 -1 -1 -1  1 -1  1 -1  1 -1 -1 -1  1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1  1
 -1 -1  1 -1 -1 -1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1  1 -1 -1
  1 -1  1 -1 -1  1 -1 -1 -1 -1  1 -1  1 -1  1 -1 -1  1 -1 -1 -1  1 -1 -1
 -1 -1  1  1  1  1 -1 -1 -1 -1  1 -1 -1  1 -1 -1  1  1 -1  1 -1  1 -1 -1
 -1  1  1 -1 -1  1 -1  1 -1 -1 -1  1 -1  1 -1 -1 -1  1  1 -1  1 -1  1  1
 -1 -1 -1  1 -1 -1  1 -1 -1 -1  1 -1 -1  1  1  1  1 -1 -1 -1  1  1  1 -1
  1 -1 -1 -1  1  1 -1 -1 -1  1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1
 -1 -1 -1  1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1  1
  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1 -1  1 -1 -1  1 -1  1 -1
  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1  1 -1  1
  1  1 -1 -1 -1 -1  1 -1  1  1  1  1 -1  1 -1 -1 -1 -1  1  1  1 -1  1 -1
 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1  1
 -1  1 -1 -1  1  1  1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1 -1  1  1 -1 -1  1
 -1  1 -1 -1  1 -1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1  1 -1 -1  1 -1
  1 -1 -1 -1  1 -1  1  1 -1  1  1 -1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1  1
 -1]",0.7012987012987013,0.6965370894989664
tree,"[ 1 -1  1 -1 -1 -1 -1  1 -1 -1  1  1 -1  1  1 -1 -1 -1 -1  1  1  1  1 -1
 -1 -1  1  1  1  1 -1  1  1  1  1  1  1 -1 -1  1  1 -1 -1  1  1  1 -1  1
  1 -1  1 -1 -1  1 -1  1 -1  1  1 -1  1  1 -1  1 -1  1 -1  1 -1  1 -1 -1
  1  1  1  1 -1 -1 -1  1 -1 -1  1 -1  1  1 -1 -1 -1  1  1  1  1  1 -1 -1
  1 -1  1  1  1  1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1  1  1  1  1
  1  1  1 -1 -1  1  1  1 -1 -1  1  1 -1  1 -1 -1  1  1  1 -1  1  1 -1 -1
 -1 -1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1  1 -1  1 -1  1 -1  1  1  1  1
  1  1  1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1  1 -1 -1  1  1 -1  1  1  1  1
  1  1 -1 -1 -1 -1 -1  1  1 -1 -1  1 -1 -1  1 -1 -1 -1  1 -1 -1 -1  1  1
 -1  1  1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1 -1  1  1  1 -1  1 -1 -1  1  1
 -1 -1 -1  1 -1  1 -1  1 -1  1 -1  1  1 -1 -1 -1 -1  1 -1 -1  1  1 -1 -1
  1  1 -1 -1  1  1  1 -1  1  1  1  1  1 -1 -1 -1 -1 -1  1  1  1 -1  1 -1
 -1 -1 -1 -1  1  1  1  1 -1  1 -1  1 -1  1  1  1  1  1 -1 -1 -1  1  1 -1
 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1  1  1  1 -1  1  1
  1  1 -1 -1  1 -1  1 -1  1 -1 -1 -1 -1  1  1 -1  1 -1  1  1 -1 -1  1 -1
  1 -1 -1 -1  1 -1 -1  1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1 -1 -1  1
 -1]",0.825974025974026,0.825990463345494
