,preds,acc,f1
knn,"[ 1  1 -1  0 -1  0  1 -1  1 -1 -1 -1  0  0  0 -1  0  0 -1  0 -1  0  1  1
  1 -1  0  0  0  0 -1  1  0  1  0  0 -1  0 -1  0  1  1 -1  0  1  1  1  0
  0 -1 -1  0  0  0  1  0  1 -1 -1  1  0 -1  0  0 -1  0 -1 -1  0 -1 -1  0
 -1  1  1  1  1  0  0  0  0  0 -1 -1 -1 -1  1 -1  0 -1 -1  0 -1  0  1  0
  1  0  0  0 -1 -1  0  0 -1  0  1 -1  1  0  0  0  0  0  0  0 -1  0  0  0
  1 -1  0  1  0  0  0  1  0  1  1  1  0  0 -1  0  1  0  1 -1  1  0 -1  0
 -1 -1  0  1  0 -1 -1 -1  0  0  1  1 -1  1 -1 -1 -1  0  0  1  1 -1  0  0
 -1 -1  0 -1  0  1  1  0 -1  1  0  0 -1  0  1  0  1 -1  0 -1  0  0 -1  0
  0  1  1  0  0  0 -1  0  0  0  0 -1 -1  1 -1 -1 -1  0 -1  1 -1  1  1  0
 -1  0  0  0  0  0  0  0  1  1]",0.6460176991150443,0.6350395313333913
mnb,"[ 1  1  0  0 -1 -1  1 -1  1  1 -1 -1  0 -1  0 -1  0  0 -1  0 -1  0  1  1
 -1  0  0  0  0  0 -1  1  1  1 -1  0  1  0 -1  0  1  1  1  0  1  1  1  0
  0  0 -1  1  0  0  1  0  0 -1 -1 -1  0 -1  0  0 -1  0  1 -1  0  0 -1  0
  1 -1  1  1  1  0  0  0  0  1 -1  0  1  1  1 -1  0 -1 -1  0  0  0  0  0
  1  0  0  0 -1  1  0  1  0  0  1 -1  1  1  0 -1  0  0  0  0  1  0  1  0
  0  1  0 -1  0 -1 -1  1  0  1 -1 -1  0  0 -1  0  1  0  0  0 -1  0  0  0
  0  1  0  1  0  1 -1 -1  0  0  1 -1  0  1 -1 -1  0  0  0  1  1  1  0  0
  1 -1  0 -1  0  1  1  0 -1  0  0  1  0  0  1  0  1 -1  0  0  0  0  1  1
 -1  1  1  0  0  0 -1  0  0  0  0  1  0  0  0 -1 -1 -1 -1  1  1  1 -1  1
  1 -1  0  0  0  0  1  0  1  1]",0.7699115044247787,0.76020626413886
svm,"[ 1  1 -1  0 -1 -1  1 -1  1  1  1 -1  1 -1  0  1  0  0 -1  0 -1  1  1  1
 -1 -1  0  0  0  0 -1  1  1  1  1  0  1  0  1  0  1  1  1  1  1  1  1  0
  0  1 -1  1  1  0  1  1  1 -1 -1  1  0 -1  0  0 -1  0  1 -1  0  1  1  0
  1 -1  1  1  1  0  1  0  0  1 -1 -1  1 -1  1 -1  0 -1 -1  0 -1  0  1  0
  1  0  0  0 -1  1  0  1 -1  1  1 -1  1  1  1  1  0  0  0  0  1  0  1 -1
  1  1  0  1  0  1  1  1 -1  1  1  1 -1  0 -1  1  1  0  1 -1  1  1  1  1
  1  1  1  1  0  1  1 -1  1  0  1  1  0  1  1 -1  0  1  1  1  1 -1  0  1
  1 -1  0 -1  0  1  1  0 -1  1  0  1  0  0  1  0  1  1  0 -1  0  0  1  1
  1 -1  1  0  0  1  1  0  0  0  0 -1 -1  0  1  1  1  1  1  1  1  1 -1  1
  1  1  0  0  0  0  1  0  1  1]",0.7035398230088495,0.699827678914696
tree,"[ 0 -1 -1  0  1 -1  1  1  1 -1 -1  1 -1 -1  0 -1  0  0 -1  0 -1  1  1  1
  1  0  0  0  0  0  1  1  1 -1 -1  0 -1  0 -1  0  0 -1  1  1  1  1 -1  0
  0 -1 -1  1  1  0  1  1  1 -1  1 -1  0 -1  0  0  1  0  1  0  0 -1 -1  0
 -1  1  1 -1  1  0  0  0  0  1 -1  0  1  1  1 -1  0 -1 -1  0 -1  0 -1  0
  0  0  0  0  1  0  0  1  0  1  1 -1 -1 -1  1 -1  0  0  0  0  1  0 -1  1
 -1  1  0 -1  0  1 -1 -1  0 -1  1  1 -1  0  0  1  1  0 -1  0  1  0  0  0
  0 -1  0  1  0 -1  1 -1  1  0  1 -1  0  0 -1 -1  0 -1  1 -1  1 -1  0  0
 -1 -1  0  1  0 -1 -1  0  0 -1  0  1  0  0  1  0  1  1  0  1  0  0 -1  1
 -1  1  0  0  0  0  1  0  0  0  0 -1  0  0  0  0 -1 -1 -1  1 -1 -1 -1  0
  1 -1  0  0  0  0  1  0  1 -1]",0.7522123893805309,0.7462518831056673
