,preds,acc,f1
knn,"[ 0 -1  0  1 -1  0  1  1 -1  0  1 -1  0 -1  0  0  0  0  0 -1  1  1 -1  1
 -1  0  1 -1 -1 -1 -1  1  1  0  1  0  0  0  1  1 -1  1  1  0 -1  1 -1  0
 -1 -1  0  1  0  0  0  0  0 -1 -1 -1  0 -1 -1 -1  0  0  1  1 -1  0  0  0
  1 -1 -1 -1 -1 -1  1 -1  0  0 -1  0 -1  1  0  0  0  0  0  0  1  0 -1  1
  0 -1 -1  0  0  0  1 -1  1  1  1  0  0  0  1  1  0  0  0 -1 -1  1 -1  0
  0  0  1  1  0 -1  0 -1  1  1  0  1  0  0  0  0  1  0  0 -1 -1  1 -1  1
  1  0 -1 -1  0  1  0 -1  0  0 -1  0  0  1  0  1  0  1  0  0  0  0  0 -1
 -1 -1  0  0  0  1 -1  0  0  0  0  1 -1  0  1  0 -1  0  1 -1 -1  0 -1  0
  1 -1  0 -1  0  1  0  0  0  0  0  0  1  0  1 -1  1  0  1  1  0  0  0  1
  1  1  0 -1 -1  0  0  1 -1 -1 -1  0 -1  1 -1  0  0  1  1  1  0  0  0  1
 -1  0  1  0 -1  1  0  0 -1  0  0 -1  0  0  1 -1 -1  1  1 -1  1 -1  0 -1
  0  0 -1 -1  1  0  1 -1  0  0  1 -1  1  0 -1 -1  1 -1  1 -1 -1 -1 -1  1
  0  0 -1  0  1  0  0 -1  1  0 -1  1  0  0 -1  1  0 -1  1  0  0 -1  0  0
  0  0  0  1 -1 -1  1 -1  0  1  0 -1  0  0  1 -1  0  0  1  0  1 -1  0  1
  1  0  1 -1 -1  1 -1 -1  0  1  1 -1  1  0 -1  0  0  0  0 -1  0  0  1 -1
 -1  0  1  0  1 -1  0  0  0  0  0  0  0  0  0 -1  0  0  1 -1  0  0 -1  0
  0 -1  0  0 -1 -1  0  1  0  0  0  0  1 -1  1  1  1 -1  1  0 -1 -1 -1  0
 -1  0  0  0 -1 -1  0 -1  0  0 -1  0  0  0 -1  0 -1  0  1 -1 -1  0 -1  0
  0 -1 -1  0  0  0 -1  0  0 -1 -1  0  0  0  1 -1  0  1  0  1  1  1  1  0
  1  0  0  1  1  0  1  0  1  1  0  0 -1  0  0  0  0  0  1  0  1  0  0 -1
  1 -1 -1 -1 -1  1  0 -1  0 -1  0  0 -1  1 -1  0  0 -1 -1 -1  0  0  0  0
  1  0 -1  1  0  0 -1  1  0  0  0  0  0  0 -1  1  0 -1  0  0  0  1  0  0
  0  1 -1  0  0  0  0 -1  1  1  0  0  0  0  1  0 -1 -1 -1  0  1 -1  0  0
  1  0  1 -1  0 -1 -1  0  1  1  1  1  0  1  0 -1  0  0  0  0  1  1  0  1
  0  1]",0.6089965397923875,0.5961585620836751
mnb,"[ 0  1  0  0 -1 -1  1  1  0 -1 -1 -1  0 -1  0  0  0  0  0  0  0  0 -1  1
 -1 -1  1 -1  1 -1  0 -1  1  1 -1  0  1  0  1  1 -1 -1 -1 -1 -1  1 -1  0
  0 -1  1  1 -1  1  0  0  0  1 -1 -1  0  1 -1  0  0  0  1 -1  1  1  0  0
  1 -1  0  0  0 -1  0  0  1 -1 -1  0 -1  1  0  0  1  0  0  1  0  0 -1  1
  0 -1 -1 -1  0  0  1 -1  1  1  1  0  0  0 -1  1  0  0  0 -1 -1  1  0  0
  1  0  0 -1  1  0  0 -1 -1 -1  0  1  0  0  0  1  0  0  0 -1 -1  0 -1  1
  1  0 -1 -1 -1  1  0  0  1  0 -1  0  0 -1  0  1  0  0  0  0  0  0  0  1
 -1  0  0  0  0  1 -1  0  0  0 -1  1 -1  1 -1 -1 -1  0 -1  0  1  0 -1  0
  1 -1  1 -1  0  0  0  0  0  0  0  1  0  0 -1 -1  0  0  0  1  0  0  1  0
 -1  0  0 -1 -1  1  0  1  1 -1  0  0 -1  1 -1 -1  1  1 -1  0  0  0  0  0
  0  1 -1  0 -1 -1  0  0 -1  0  0 -1  0  0  1 -1 -1  1 -1 -1  0 -1  1 -1
  0  0  0  0  1 -1 -1 -1  0  1  1 -1  1  0 -1 -1  1 -1  0 -1 -1 -1 -1  1
  0  0 -1  0  1 -1  1  1  1  0 -1  1  0 -1 -1  1  0 -1  1  0  0 -1  0  0
  0  0  0  0 -1 -1  1 -1 -1 -1  0 -1  0  0  1 -1  0  0  1  0 -1 -1  1  1
  1  0 -1  0  0  1 -1  0  0  1  1 -1 -1  0 -1  1  0  0  0  0  0  0 -1 -1
 -1  1  0  0  1  1  0  0  0  0  0  1  0  0  0 -1  0  0  0  0  0  0  0  0
 -1 -1  0  0  0 -1  0  1  0  0 -1  0  0 -1 -1  0 -1  1  1  0 -1 -1  1  0
 -1  0  0  0  0  0  0  0  1  0 -1  0  0  0 -1  0 -1  0  1 -1 -1  1  1  0
  0 -1  0  0  0  0 -1  1  1 -1  0  0  0  0  1 -1  1  0  0  1  1 -1  1  0
  0  0  0  1  0  1 -1  0  1  1  0  0 -1  0  0  0  0  0 -1  0  1 -1 -1  1
  0 -1 -1 -1  0 -1  1 -1  0 -1  1  0 -1 -1 -1  0  0 -1 -1  0  0  0  0  1
 -1  0  1  1  0  0 -1  1  0  0 -1  0  1  0 -1  1  1 -1  0  0 -1 -1  0 -1
  0  0  1  1  0  0  0 -1  1  0  0  0  0  1 -1  0 -1 -1  0  0  1  1  0 -1
 -1  1  1 -1  0 -1 -1  0  1  0  1  1  0 -1  1  1  0  0  0  0  0  1  0  1
  0 -1]",0.7560553633217993,0.7472446722447881
svm,"[ 0 -1  1 -1 -1 -1 -1 -1  0 -1 -1 -1  0 -1  0  0  0 -1  0  0  0  1 -1  1
 -1 -1 -1 -1 -1 -1 -1  1  1  1 -1  0 -1  0  1 -1 -1 -1  1 -1 -1  1 -1  0
 -1 -1  1  1 -1  1 -1  0  0 -1 -1 -1  0 -1 -1 -1  1  0  1  1 -1  1  0  0
 -1 -1 -1  0 -1  1  1  0  1 -1 -1  0 -1 -1  0  0  1  0  0  1  1  0 -1  1
  1 -1 -1 -1 -1  1 -1 -1 -1  1  1  0  0  0 -1  1  0 -1  0 -1 -1  1 -1  0
 -1  0  0  1  1 -1 -1 -1 -1 -1  1  1 -1  0  0  1  0  0 -1 -1 -1 -1 -1 -1
  1  0 -1 -1 -1  1  0  0  1  0 -1 -1  0  1 -1 -1  0  1  0  0  0  0  0 -1
 -1 -1  0  0  0  1 -1 -1  0 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1  0 -1  0
 -1 -1  1 -1  0  1  0  1  0  0  0  1  1  1  1 -1  1  0 -1  1 -1  0  1 -1
 -1 -1  0 -1 -1  1  0  1  1 -1 -1 -1 -1  1 -1 -1 -1  1 -1 -1  0  0  0 -1
 -1  0 -1  0 -1 -1  0 -1 -1 -1  0 -1  0  0 -1 -1 -1  1 -1 -1  1 -1  1 -1
  0  1  0  0  1 -1 -1 -1  1 -1  1 -1  1 -1 -1 -1  1 -1  1 -1 -1 -1 -1 -1
 -1  0 -1  0  1 -1  1 -1  1  1 -1  1 -1 -1 -1  1  0 -1  1  0  0 -1  0  0
  1  0 -1 -1 -1 -1 -1 -1 -1 -1  0 -1  0 -1  1 -1 -1  0  1  0 -1 -1  1  1
 -1 -1 -1  1 -1  1 -1 -1  0  1  1 -1 -1 -1 -1  1  0  0  0  0  0  0 -1 -1
 -1  1  1  0  1  1  0  1  0  0 -1 -1  1  0  0 -1 -1  0  1 -1  0  0 -1  0
 -1 -1  0  0 -1 -1 -1  1  1 -1 -1  0  0 -1 -1  1 -1  1  1  0 -1 -1 -1 -1
 -1  0  1  1 -1 -1  0  0  0  0 -1  0  0 -1 -1  0 -1  0  1 -1 -1 -1 -1 -1
  0 -1  0  0  0  1 -1  1  1 -1  0  0  0 -1  1 -1  1  1  0  1  1  1  1  0
 -1  0  0 -1 -1  0 -1  0  1  1 -1  0 -1  0  0  0 -1  0  1 -1  1 -1 -1 -1
  1 -1 -1 -1  0  1 -1 -1  0 -1 -1  0  1 -1 -1  0 -1 -1 -1  0  0  0  0  1
 -1  0  1  1 -1  0 -1  1 -1  0 -1  0  1  0 -1 -1 -1 -1  0  0 -1 -1  0 -1
  0  1 -1  1  0 -1  0 -1  1 -1 -1  0  0  1  1  0 -1 -1  0 -1  1  1  1 -1
 -1  1  1 -1  0 -1 -1  1  1  1  1  1  0 -1  1  1  0  1  0  1  0 -1  0 -1
  0  1]",0.7231833910034602,0.7277878656206317
tree,"[ 0  1 -1  1  1 -1  1  1  0  1  1 -1  0  0  0  0  0  0  0  0  0  0  0  1
  1 -1  1 -1  1 -1  0 -1  1  1  0  0 -1  0  1 -1 -1  1 -1 -1 -1 -1 -1  0
  1 -1  1 -1 -1  1  1  0  0 -1 -1 -1  0 -1 -1 -1  0  0  1 -1 -1  1  0  0
  0 -1  1  0 -1 -1  0  0  1 -1 -1  0  1  0  0  0  1  0  0 -1 -1  0  1  1
  1  1 -1  0  0  1  1  1 -1  1  1  0  0  0 -1  1  0  1  0 -1 -1  1 -1  0
  1  0  0 -1  0  0 -1  1  1 -1  1 -1 -1  0  1  1  0  0 -1 -1 -1 -1 -1  1
 -1  0 -1 -1  1  1  0  0 -1  0 -1  1  0  1 -1  0  0  1  0  0  0  0  0  0
  0 -1  0  0  0  1  1  0  0  0 -1 -1  0 -1 -1 -1  1  0  1 -1 -1  0 -1  0
 -1 -1  1 -1  0  0  0  0  0  0  0 -1  1  0 -1  1 -1  0  0 -1  0  0  0  0
 -1  1  0 -1  0 -1  0 -1 -1 -1  1  1 -1 -1 -1  1  1  1 -1 -1  0  0  0 -1
 -1  0 -1  0 -1  0  0 -1 -1  1  0 -1  0  0  0 -1 -1  1  1  1 -1  1  1 -1
  0  0  0  0  0  1 -1 -1 -1  1  1 -1 -1  0  0  0  1 -1  1 -1 -1 -1 -1  1
  0  0 -1  0  0 -1  1  1 -1 -1  1  1  0  0 -1  1  0 -1 -1  0  0 -1  0  0
  1  0  0  0 -1 -1 -1  1 -1  1  0  1  0  1 -1  1  0  0  1  0 -1 -1  1  1
 -1 -1 -1 -1  1  1 -1  1  0  1  1 -1 -1  1  1  1  0  0  0  0  0  0  1 -1
 -1 -1  1  0  1  1  0  1  0  0  0  1  0  0  0  1 -1  0 -1  0  0  0  1  0
  1 -1  0  0 -1 -1  0  0  1 -1 -1  0  0  1 -1 -1 -1  1  1  0  1  1  1  0
 -1  0  1 -1 -1  1  0  0  0  0 -1  0  0 -1  0  0 -1  0  1  1  0 -1  0 -1
  0  0  0  0  0 -1 -1  1  1 -1  0  0  0 -1  1 -1  1  1  0  1  0  1  1  0
  1  0  0 -1  1  0  1  0  1 -1  0  0 -1  0  0  0 -1  0 -1  0 -1  1 -1  1
  1 -1  1 -1  0 -1 -1  1  0 -1  1  0 -1 -1  1  0  1 -1 -1  0  0  0  0  1
  1  0  1 -1  0  0 -1 -1  0  0  1  0 -1  0 -1  1  1 -1  0  0 -1  1  0 -1
  0  1  1  1  0  1  0 -1  1  1  1  0  0  1 -1  0  1 -1  0  0 -1  1  0 -1
 -1  1  0 -1  0 -1  0  0  1 -1  1 -1  0 -1 -1  0  0  1  0  0  0  1  0 -1
  0  1]",0.7716262975778547,0.7679082325537702
