,preds,acc,f1
knn,"[-1  1  0  1  0  0 -1  0  1  0  0  1 -1  0  1  1  0  1 -1  0 -1  0  1  0
 -1 -1  1  0  0  1 -1  0 -1  0  0  0  0  1  0 -1  1 -1  0  0  0  0 -1  1
  0  0 -1  1  1  1  1  1  0  1 -1  0 -1 -1  1  0 -1 -1 -1  0  0 -1  0  1
  1 -1  0  0  0  0  0  0 -1  0  0  0  0  1 -1  0  0  1  1  0  0  0  0  0
  0  0  0  0  0  0  1  0  0 -1  0  0 -1  1  0 -1 -1 -1  0  0  0  0 -1  1
  0  0 -1  1  1 -1  0 -1  0 -1  0 -1 -1  0  1  0  0  0 -1  0 -1 -1  1 -1
  0  0  1  0  1 -1  0  1 -1  1  1  1  0 -1  0 -1  0  1  0  1  1  0 -1 -1
  1  1 -1  1 -1  1 -1  1  1  1  1  0  1 -1 -1  0  1  1  0  0  0  0  0 -1
  1  1  0  0  1  1  0  1  1 -1  1 -1  0  0  1  0  1  1  0  0  0 -1  0  1
  0 -1  1  1  0  0  0  0  0  0 -1  1  0  1  0  0  0  1  0 -1  1 -1  0  0
  0  0  0  0  0  0  0  1 -1 -1  0  0  0 -1  0  0  0  0  1  0  0  1  1  0
 -1  1  1 -1  0  1  0  1  0 -1  0  0  1  1 -1  0  1  0  0 -1  1  1 -1  0
  0  0  1  0  0 -1  0  0  0  1  1  1  0 -1  0  0 -1  1  0  0  0 -1  0  1
 -1  0 -1  0 -1  1  0  0  0  0 -1  0  1  0  1  0  0  0 -1  0  1 -1 -1  1
  1 -1  1 -1 -1  0 -1  0  0  1  0 -1  1  0  1  0  1  0  0  0  0  0  0  0
  0  0  0  1  0  1 -1  0  1  0 -1  0  0  0  0 -1  0  1 -1  0  0  0 -1  1
  1  1 -1]",0.6563307493540051,0.6415240929710417
mnb,"[-1  1  0 -1  0  0 -1  0 -1  0  0 -1 -1  0  1 -1  0  1 -1 -1 -1  0 -1  0
 -1 -1  1  0  0 -1  1  0 -1  0  0  0  0  1  1  0  1 -1  0  0  0  0 -1 -1
  0  1 -1 -1  0  1 -1 -1 -1 -1 -1  0 -1 -1  1  0 -1 -1 -1  0  0 -1 -1 -1
  1 -1  0  0  0  0  1  0 -1  1  0 -1  0 -1 -1  0  1 -1  1  0  0  1  0  0
  0  0  0  0  0  0 -1  0  0 -1  0  0 -1 -1  0 -1 -1 -1  1  0  0 -1  0  1
  0  0 -1 -1 -1 -1  0 -1  0 -1  0  1 -1  0 -1  0  0  1 -1  0 -1 -1 -1  1
  0 -1 -1  0 -1 -1  0  1 -1 -1 -1  1  0 -1  0 -1  0  1  1 -1 -1  0  1 -1
  1 -1  1  1 -1  1 -1  1  1  1 -1  0  0 -1 -1  0  0  1 -1  0  0  0  0 -1
  1  0  1  0 -1  1  0  1  1 -1  0 -1  0  0  1  1  1  1  0  0  0 -1  0 -1
  0  1  1 -1 -1  0  0  0  0  1 -1  0  0  1  0  0  0 -1  0 -1  1 -1  0  0
  0  0  0  0  0  0  0  1  0 -1  0 -1 -1  1  0  0  0  0 -1  1  0  1  1 -1
 -1  1  1  1  0 -1  0  1  1 -1  0  1 -1  1  1  0  1  0  0 -1  1  1 -1  0
  0  0  1  0  0 -1  0  0 -1 -1  1  1  0 -1  0 -1 -1  0  0  0  0 -1  1 -1
 -1  0  0  0 -1  1  1  1  0  0  0  0  0  0  1  1  1 -1 -1  0  1 -1 -1 -1
  1 -1 -1 -1  0  1  1 -1  0 -1 -1 -1  1  0  0  1 -1  0  0  1  1  0  0  0
  0  0  0 -1  0  1 -1  0  1 -1  0  0  0  0 -1 -1 -1  1 -1  0  0  0 -1  0
  1  1 -1]",0.7493540051679587,0.7385803545729619
svm,"[-1  1 -1 -1  0  0 -1  0  1  1  0  1 -1  0  1 -1  0  1 -1 -1 -1 -1 -1  0
 -1 -1  1  0  0 -1  1 -1 -1  0  0  0 -1  1 -1 -1  1 -1  0  0  0  0 -1  1
  0  1 -1  1  1 -1 -1  1 -1 -1 -1  0 -1 -1 -1  0 -1 -1 -1  0  1 -1 -1 -1
 -1 -1  0  0  0  0 -1  0 -1  1  0 -1  0 -1 -1  0  1  1  1  0  0 -1  0  0
  0  0  1  1  0  0 -1  0  0 -1  0  0  0  1  0 -1 -1  0 -1  0  0 -1 -1 -1
  0 -1 -1 -1 -1 -1  0 -1  1 -1 -1 -1 -1  0 -1  0  0  1 -1  0 -1 -1 -1 -1
  0 -1 -1 -1 -1 -1  0  1 -1 -1 -1  1  0 -1  0 -1  0  1  1 -1 -1  0  1 -1
  1 -1 -1  1 -1  1 -1  1  1  1  1  1 -1 -1 -1  1 -1  1 -1 -1 -1  0  0 -1
 -1  1  1 -1 -1  1  0  1  1 -1 -1 -1  0  0 -1  1 -1  1  0  0  0 -1  0 -1
 -1 -1 -1 -1 -1  0  0  0  0  1 -1  1  0 -1  1  0  0 -1 -1 -1 -1 -1  0  0
  0  0  0  0  0  0 -1  1 -1 -1 -1 -1 -1  1  1  1  0 -1 -1 -1  0  1 -1 -1
 -1  1  1 -1  0 -1  0 -1 -1 -1  0 -1 -1  1 -1  0  1  0  0 -1 -1  1 -1  0
  0  0  1  0  0 -1  0  0 -1 -1  1 -1 -1 -1  0 -1 -1  0  1  0  0  0  1 -1
 -1  0 -1  0 -1  1  1  1  1 -1 -1  0  1  0  1  1 -1 -1 -1  0  1 -1 -1  1
  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1  1  1  0  1  0 -1  1 -1  0
 -1 -1 -1 -1  0  1 -1 -1  1 -1 -1  0  1  0 -1 -1 -1 -1 -1  0  0  0 -1  1
  1 -1 -1]",0.7209302325581395,0.7216717722606342
tree,"[-1  1  1  1  0  0  1  0  1 -1  0  0  0  1 -1  1  0  1  1 -1  1 -1  0  0
 -1 -1  1  0  0  0  1  0  1  0  0  0 -1  1 -1 -1  1 -1  0  0  0  0 -1  1
  0  1 -1  1  1  0  1  1 -1 -1 -1  0 -1  1  0  0 -1 -1 -1  0  1 -1  1  1
 -1 -1  0  0  0  0  1  0 -1  1  0 -1  0 -1 -1  0  1  1  1  0  0 -1  0  0
  0  0 -1 -1  0  0 -1  0  0 -1  0  0  0 -1  0 -1 -1  0 -1  0  0  1 -1  1
  0  0 -1 -1 -1  0  0 -1  0 -1  0 -1  0  0  1  0  0  1  1  0 -1  1  1  1
  0 -1 -1  0  0  0  0  0  1  1  1 -1  0 -1  0  1  0 -1 -1 -1  1  0  1 -1
  1  1  1  1 -1  1 -1 -1  0  1  1  0  0  0 -1  1  1  1 -1  1  1  0  0  1
  0 -1  1  0  1  1  0  1 -1  1  0 -1  0  0  0  1 -1  1  0  0  0 -1  0  1
  0 -1 -1 -1  1  0  0  0  0  1 -1  1  0  1  0  0  0 -1  0  1 -1 -1  0  0
  0  0  0  0  0  0  1  1 -1 -1  1 -1 -1  1  0  0  0  1  1  0  0  1  0  0
  1  1 -1  0  0  1  0  1  1 -1  0  1  1  1  1  0 -1  0  0  1  1  1 -1  0
  0  0 -1  0  0  0  0  0 -1 -1  1 -1 -1 -1  1 -1 -1  0  1  0  0  0  1 -1
  0  0  1  0  0  1  1  1  1  1  0  0 -1  0  1  1  1 -1 -1  0  1 -1 -1  1
  1  1 -1  1  1 -1  1 -1  1  1  0 -1  1  0  1 -1 -1  0  1  0 -1 -1 -1  0
  0  1  1 -1  0  1 -1  1  0 -1  1  0  0  0 -1 -1  1  1  1  0  0  0 -1  0
  1 -1  1]",0.7545219638242894,0.7497408852097984
