,preds,acc,f1
knn,"[ 0 -1 -1 -1  0  0 -1  0 -1  0 -1  0 -1 -1 -1  0  0  0 -1 -1  0 -1  0  0
  0 -1  0 -1  0  0 -1  0 -1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0 -1
 -1  0  0  0  0  0 -1 -1 -1 -1  0  0 -1  0  0 -1  0  0 -1 -1 -1  0 -1  0
  0 -1  0  0  0 -1 -1  0 -1 -1 -1 -1  0 -1 -1  0  0  0 -1  0  0  0 -1 -1
 -1 -1  0 -1 -1  0 -1 -1  0 -1 -1 -1  0 -1  0  0 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1  0  0 -1  0 -1 -1  0  0  0 -1 -1 -1  0 -1  0 -1  0  0  0  0 -1  0
  0 -1 -1  0 -1 -1  0 -1 -1  0 -1 -1  0 -1 -1 -1  0 -1  0 -1  0 -1 -1  0
  0  0 -1  0 -1 -1  0  0  0 -1  0  0  0  0 -1 -1  0 -1  0  0  0 -1 -1  0
 -1 -1 -1  0  0 -1  0 -1  0  0  0 -1 -1  0  0  0 -1 -1  0 -1 -1 -1 -1  0
 -1 -1 -1  0 -1  0  0 -1 -1 -1  0 -1  0  0  0  0  0  0 -1  0 -1  0  0  0
 -1  0 -1 -1 -1 -1 -1  0  0 -1 -1 -1 -1  0  0 -1  0 -1 -1  0  0 -1  0 -1
  0 -1 -1  0  0  0  0  0  0 -1  0  0 -1  0 -1  0  0  0 -1  0  0 -1  0 -1
 -1 -1  0  0  0  0  0  0  0  0  0 -1 -1  0  0  0 -1 -1 -1  0  0 -1  0  0
  0  0  0  0  0 -1 -1  0  0 -1  0 -1 -1 -1  0 -1 -1  0  0 -1  0  0 -1  0
  0  0 -1  0  0  0 -1 -1 -1  0 -1  0  0  0 -1  0 -1 -1  0  0 -1 -1 -1  0
 -1 -1  0  0 -1 -1  0 -1  0  0  0  0  0 -1 -1  0 -1 -1  0  0  0  0  0 -1
  0  0  0  0  0 -1  0  0  0 -1 -1 -1 -1  0 -1 -1  0  0 -1 -1 -1 -1 -1  0
 -1  0  0 -1  0 -1 -1  0  0  0  0  0 -1  0  0  0  0  0 -1  0 -1 -1 -1  0
 -1  0  0  0 -1 -1 -1  0 -1  0  0  0  0  0 -1 -1 -1  0  0 -1  0  0  0  0
 -1  0  0 -1 -1 -1 -1  0  0 -1  0 -1  0 -1 -1 -1 -1 -1  0 -1  0  0  0  0
 -1 -1  0  0 -1 -1  0 -1  0 -1 -1  0 -1 -1  0 -1 -1 -1 -1  0  0  0  0 -1
  0 -1  0 -1 -1 -1  0 -1 -1 -1 -1 -1  0  0 -1  0  0  0  0  0  0  0  0 -1
  0  0  0 -1 -1 -1  0  0  0  0  0 -1  0  0 -1 -1  0  0  0  0  0 -1 -1 -1
 -1 -1 -1  0 -1  0  0  0 -1 -1 -1  0  0  0 -1 -1 -1  0 -1 -1  0 -1 -1  0
 -1  0 -1  0 -1  0  0  0  0  0  0  0 -1  0 -1  0 -1  0 -1  0 -1  0  0  0
  0  0 -1  0  0 -1  0  0  0  0  0 -1  0 -1 -1 -1 -1  0 -1  0  0  0  0  0
 -1  0  0  0 -1 -1 -1 -1 -1  0 -1  0  0 -1  0 -1 -1  0 -1  0  0 -1 -1  0
 -1 -1 -1  0 -1 -1 -1 -1  0  0 -1  0  0 -1  0 -1  0  0 -1 -1  0 -1 -1 -1
 -1 -1  0  0 -1 -1 -1 -1 -1  0  0 -1 -1  0 -1  0  0  0  0  0 -1 -1  0 -1
  0 -1 -1  0  0  0  0  0 -1 -1  0  0  0 -1  0 -1 -1 -1  0  0  0  0  0  0
 -1  0  0 -1 -1  0  0  0  0 -1 -1  0 -1  0 -1  0  0 -1  0 -1 -1  0  0 -1
 -1 -1  0  0  0 -1 -1 -1 -1 -1  0 -1 -1  0  0  0  0  0 -1  0 -1  0 -1 -1
  0 -1 -1  0  0  0  0 -1 -1 -1  0  0 -1  0  0  0 -1 -1  0  0 -1 -1  0  0
  0 -1 -1  0  0 -1  0 -1 -1  0  0  0  0  0  0  0 -1 -1  0  0  0 -1 -1 -1
 -1  0  0  0  0  0 -1  0  0  0 -1  0 -1 -1 -1 -1  0 -1  0  0  0  0  0  0
 -1  0  0  0 -1  0  0  0 -1 -1 -1  0  0 -1]",0.7224824355971897,0.7221569319411829
mnb,"[-1 -1 -1  0  0  0 -1 -1 -1 -1 -1  0 -1 -1 -1  0  0  0 -1  0  0 -1  0 -1
  0 -1  0 -1 -1  0 -1 -1  0 -1 -1 -1  0  0  0  0 -1  0  0 -1  0  0 -1 -1
 -1  0  0  0  0  0 -1  0  0 -1 -1 -1 -1  0  0 -1  0 -1 -1 -1 -1  0 -1  0
  0 -1  0  0 -1  0 -1  0 -1 -1 -1 -1 -1  0 -1  0  0  0 -1 -1  0  0 -1 -1
 -1 -1 -1 -1 -1 -1  0  0  0 -1 -1 -1  0 -1  0  0 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1  0 -1 -1  0  0 -1  0  0  0 -1  0 -1 -1 -1  0 -1  0  0  0  0  0  0
 -1 -1 -1 -1 -1 -1  0  0 -1  0 -1 -1  0  0 -1 -1  0 -1  0 -1  0 -1 -1 -1
  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0 -1 -1 -1  0 -1  0 -1 -1  0
 -1 -1  0  0  0 -1  0  0 -1  0  0 -1 -1  0  0  0 -1 -1  0 -1 -1  0 -1  0
  0  0 -1 -1 -1  0 -1 -1 -1 -1  0 -1 -1  0  0  0  0 -1  0  0 -1  0  0 -1
 -1 -1 -1  0 -1  0 -1 -1 -1  0 -1 -1 -1  0  0  0 -1 -1 -1  0  0 -1  0 -1
  0 -1 -1  0  0 -1 -1  0  0  0  0  0 -1  0 -1  0  0  0 -1  0 -1  0 -1 -1
 -1 -1  0  0  0 -1  0  0  0  0  0 -1 -1  0  0 -1 -1 -1 -1 -1  0  0  0  0
 -1  0  0  0  0  0 -1  0  0 -1  0 -1  0 -1  0 -1 -1  0  0 -1  0 -1 -1  0
  0 -1 -1 -1 -1  0 -1 -1 -1  0  0 -1  0  0 -1 -1 -1 -1 -1  0 -1 -1 -1  0
 -1  0 -1  0 -1  0 -1  0  0  0  0  0 -1 -1  0  0 -1 -1  0  0  0  0 -1 -1
  0  0  0  0  0 -1  0  0 -1 -1  0 -1  0  0 -1 -1  0 -1 -1 -1 -1 -1 -1  0
 -1 -1  0 -1  0 -1 -1  0 -1 -1  0  0 -1  0  0  0  0 -1 -1  0 -1 -1 -1 -1
 -1 -1  0  0 -1 -1  0 -1 -1  0  0  0  0  0  0 -1 -1  0  0  0  0  0  0  0
 -1  0 -1  0 -1 -1 -1  0  0 -1 -1  0  0 -1 -1 -1 -1 -1 -1 -1  0  0  0  0
 -1  0 -1  0 -1  0 -1 -1  0 -1 -1  0 -1 -1 -1  0  0 -1 -1  0  0  0  0 -1
  0 -1  0  0 -1  0  0  0 -1  0 -1 -1  0  0  0  0  0  0  0  0  0  0  0 -1
  0  0  0  0 -1 -1 -1 -1  0  0 -1 -1  0  0 -1 -1  0  0  0  0  0 -1 -1 -1
 -1 -1  0  0 -1  0  0  0 -1 -1 -1  0  0  0 -1 -1  0  0  0 -1 -1 -1 -1  0
 -1  0 -1  0 -1  0  0  0 -1 -1 -1  0  0  0 -1  0 -1  0  0  0 -1  0  0  0
  0  0 -1  0 -1 -1 -1  0 -1 -1  0 -1 -1 -1 -1 -1 -1  0 -1  0  0  0 -1  0
 -1 -1  0  0 -1 -1 -1  0 -1 -1 -1  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0
 -1 -1 -1  0 -1 -1 -1  0  0  0 -1  0  0 -1  0 -1  0  0 -1 -1  0 -1 -1 -1
  0 -1 -1  0 -1 -1 -1 -1 -1  0  0 -1 -1 -1 -1  0  0  0 -1 -1 -1 -1  0 -1
  0 -1 -1 -1  0  0  0  0 -1 -1  0  0  0 -1 -1 -1 -1  0  0 -1  0  0 -1  0
 -1  0  0 -1 -1  0  0  0  0  0 -1 -1  0 -1 -1  0 -1 -1  0 -1 -1  0  0  0
 -1 -1 -1  0 -1  0 -1 -1 -1 -1  0  0 -1  0  0  0  0 -1  0 -1 -1  0 -1  0
  0 -1 -1 -1  0  0  0  0 -1 -1 -1  0  0  0  0  0 -1  0  0  0 -1 -1  0  0
 -1  0  0 -1 -1 -1  0 -1 -1  0 -1  0  0 -1  0  0 -1 -1  0 -1  0 -1  0  0
 -1  0 -1  0 -1 -1 -1  0  0  0 -1  0 -1 -1 -1 -1  0 -1 -1 -1  0  0  0  0
 -1  0 -1  0 -1  0  0  0 -1 -1 -1 -1 -1 -1]",0.8747072599531616,0.8747335549864419
svm,"[ 0 -1 -1  0  0 -1 -1  0 -1 -1 -1  0 -1 -1 -1  0  0  0 -1  0  0 -1  0 -1
  0 -1  0 -1 -1  0 -1 -1  0 -1 -1 -1  0  0  0  0 -1  0  0  0  0  0 -1 -1
 -1  0  0  0  0 -1 -1 -1  0 -1  0  0 -1  0  0 -1  0  0 -1 -1 -1  0 -1  0
  0 -1  0  0 -1  0 -1  0 -1 -1 -1 -1  0  0 -1  0  0  0 -1 -1  0  0 -1 -1
 -1  0 -1 -1 -1 -1 -1 -1  0 -1 -1 -1  0 -1  0  0 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1  0  0 -1  0  0 -1  0  0  0 -1  0 -1 -1 -1  0 -1  0  0  0  0  0  0
 -1 -1 -1  0 -1 -1  0  0 -1  0 -1 -1  0  0 -1 -1  0 -1  0 -1  0 -1 -1 -1
  0  0  0  0 -1 -1  0  0  0  0  0  0  0  0  0 -1 -1 -1  0 -1  0 -1 -1  0
 -1 -1  0  0  0 -1  0  0  0  0  0 -1 -1  0  0 -1  0 -1  0 -1 -1 -1 -1  0
  0 -1 -1  0 -1  0 -1 -1 -1 -1  0  0 -1  0  0  0  0 -1  0  0 -1  0  0  0
  0 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1  0  0  0  0 -1 -1  0  0 -1  0 -1
  0 -1 -1  0  0 -1  0  0  0 -1  0  0 -1  0 -1  0  0  0 -1  0  0  0  0  0
 -1 -1  0  0  0 -1  0  0  0  0  0 -1 -1  0  0  0 -1 -1 -1 -1  0  0  0  0
 -1  0  0  0  0  0 -1  0  0 -1  0 -1 -1 -1  0 -1 -1  0  0 -1  0  0 -1  0
  0 -1 -1 -1 -1  0 -1 -1 -1  0  0 -1  0  0 -1 -1 -1 -1 -1  0 -1 -1 -1  0
 -1  0 -1  0 -1 -1  0  0  0  0  0  0  0 -1 -1  0 -1 -1  0  0  0  0 -1 -1
  0  0  0  0  0 -1  0  0 -1 -1  0 -1 -1  0 -1 -1  0  0 -1 -1 -1 -1 -1  0
 -1 -1  0 -1  0 -1 -1  0  0 -1  0  0 -1  0  0  0  0  0 -1  0 -1 -1 -1  0
 -1 -1  0  0 -1 -1 -1  0 -1  0  0  0  0  0 -1 -1 -1  0  0 -1  0  0  0  0
 -1  0 -1 -1 -1 -1 -1  0  0 -1 -1  0  0 -1 -1 -1 -1 -1 -1 -1  0  0  0  0
 -1  0  0  0 -1  0 -1 -1  0 -1 -1  0 -1 -1 -1 -1 -1 -1 -1  0  0  0  0 -1
  0 -1  0  0 -1 -1  0 -1 -1 -1 -1  0  0  0 -1  0  0  0  0  0  0  0  0 -1
  0  0  0 -1 -1 -1 -1  0  0  0  0  0  0  0 -1 -1  0  0  0  0  0 -1 -1 -1
 -1 -1 -1  0 -1  0  0  0 -1 -1 -1  0  0  0 -1 -1  0 -1 -1 -1 -1 -1 -1 -1
 -1  0 -1  0 -1  0  0  0 -1  0 -1  0  0  0 -1  0 -1  0  0  0 -1  0  0  0
  0  0 -1  0 -1 -1 -1  0 -1  0  0  0  0 -1 -1 -1 -1  0 -1  0  0  0 -1 -1
 -1 -1  0  0 -1 -1 -1 -1 -1  0 -1  0  0 -1  0  0 -1  0  0  0  0 -1 -1  0
 -1 -1 -1  0 -1 -1 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0 -1 -1 -1
  0 -1  0  0 -1 -1 -1 -1 -1  0  0 -1 -1  0 -1  0  0  0 -1 -1 -1 -1  0 -1
  0 -1 -1 -1  0  0  0  0 -1 -1  0  0  0  0 -1 -1 -1  0  0 -1  0  0 -1  0
 -1  0  0 -1  0  0  0  0  0  0 -1  0  0 -1 -1  0 -1 -1  0 -1 -1  0  0  0
 -1 -1 -1  0 -1  0 -1 -1 -1 -1  0  0 -1  0  0  0  0  0  0 -1 -1  0 -1  0
  0 -1 -1 -1  0  0  0  0 -1 -1 -1  0  0  0  0  0 -1  0  0  0 -1 -1  0  0
 -1  0 -1 -1  0 -1  0 -1 -1  0 -1  0  0  0 -1  0 -1 -1  0 -1  0 -1  0  0
 -1  0  0  0  0 -1 -1  0  0  0 -1  0 -1 -1 -1 -1  0 -1 -1 -1  0  0  0  0
 -1  0 -1  0 -1  0  0  0 -1 -1 -1 -1 -1 -1]",0.8442622950819673,0.8442676335744196
tree,"[-1 -1 -1 -1  0  0 -1  0 -1 -1  0  0 -1  0 -1  0  0  0 -1  0  0 -1  0 -1
  0  0  0 -1 -1  0 -1 -1  0 -1 -1 -1  0  0  0  0 -1  0 -1 -1  0  0 -1 -1
 -1  0  0  0  0  0 -1  0  0 -1 -1 -1 -1 -1 -1 -1  0 -1  0 -1 -1  0 -1  0
 -1  0  0  0 -1  0 -1  0 -1 -1 -1 -1  0  0 -1  0  0  0 -1 -1  0  0 -1 -1
  0  0 -1 -1 -1 -1 -1  0  0 -1 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1  0 -1
 -1 -1  0 -1 -1  0  0  0  0  0  0 -1  0 -1 -1 -1  0 -1 -1  0 -1 -1  0  0
 -1  0 -1 -1 -1 -1 -1  0 -1  0 -1 -1  0  0 -1 -1  0 -1  0 -1  0 -1 -1 -1
  0  0  0  0  0 -1  0  0 -1  0  0  0  0  0  0 -1 -1 -1  0 -1  0 -1 -1  0
 -1 -1  0  0  0 -1  0  0  0 -1  0 -1 -1  0  0  0 -1 -1  0  0 -1  0 -1 -1
  0 -1 -1 -1 -1  0 -1 -1 -1 -1  0  0 -1  0  0 -1  0  0  0  0 -1  0  0 -1
  0 -1 -1  0 -1  0 -1 -1 -1  0 -1 -1 -1  0  0  0 -1 -1 -1  0  0 -1 -1 -1
  0 -1 -1  0  0 -1 -1  0  0  0  0 -1 -1  0 -1 -1  0  0 -1  0 -1  0  0  0
 -1 -1  0  0  0 -1  0  0  0  0  0 -1 -1  0  0 -1 -1 -1 -1 -1  0  0  0  0
 -1  0  0  0  0  0 -1  0  0 -1 -1 -1  0 -1 -1  0 -1 -1  0 -1  0 -1 -1  0
  0 -1 -1 -1 -1  0 -1 -1 -1  0  0 -1  0  0 -1 -1 -1 -1 -1  0 -1 -1 -1 -1
 -1  0 -1  0  0  0  0  0  0  0  0  0 -1 -1  0 -1 -1 -1  0  0  0  0 -1 -1
  0  0  0  0  0 -1  0  0 -1 -1  0 -1 -1 -1  0  0  0  0 -1 -1 -1 -1  0  0
 -1 -1  0 -1  0  0 -1  0 -1 -1 -1  0  0  0  0  0  0 -1 -1  0 -1  0 -1 -1
 -1 -1  0  0  0 -1  0  0 -1  0  0  0  0  0  0 -1 -1  0  0 -1  0  0  0  0
 -1  0 -1  0 -1 -1 -1  0  0 -1  0  0  0  0 -1 -1 -1 -1 -1 -1  0  0  0  0
 -1  0 -1  0 -1  0  0 -1  0 -1 -1  0 -1 -1 -1 -1 -1 -1 -1  0  0  0  0 -1
  0 -1  0  0 -1  0  0  0 -1  0 -1 -1  0  0  0  0  0  0  0  0  0 -1 -1 -1
  0  0  0 -1 -1 -1 -1  0  0  0 -1  0  0  0 -1 -1  0  0  0  0  0 -1 -1 -1
  0 -1 -1 -1 -1  0 -1  0 -1 -1 -1  0  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1  0
 -1  0 -1  0 -1  0 -1  0  0 -1 -1  0  0  0 -1  0 -1  0  0  0 -1  0  0  0
 -1  0  0  0  0 -1 -1  0 -1 -1  0 -1  0 -1 -1 -1 -1  0 -1  0  0 -1 -1  0
 -1 -1 -1  0  0 -1 -1  0 -1 -1 -1 -1  0 -1  0  0 -1 -1  0  0  0  0 -1  0
 -1 -1 -1  0 -1 -1 -1  0  0  0 -1  0 -1 -1  0 -1  0  0 -1 -1  0 -1 -1 -1
  0 -1 -1  0 -1 -1 -1 -1 -1 -1  0 -1 -1 -1  0  0  0  0 -1 -1 -1 -1  0 -1
  0 -1 -1 -1  0  0  0  0 -1 -1 -1  0 -1  0 -1 -1 -1  0  0 -1  0  0 -1  0
 -1  0  0 -1  0  0  0  0  0  0 -1 -1  0 -1 -1  0 -1 -1  0  0 -1  0  0 -1
  0 -1 -1 -1 -1  0 -1 -1 -1  0 -1  0 -1  0 -1  0  0  0  0 -1 -1  0  0 -1
  0 -1 -1 -1  0  0  0  0 -1 -1 -1  0  0  0  0  0 -1  0  0  0 -1  0  0  0
 -1  0  0 -1 -1 -1 -1 -1 -1  0 -1  0  0 -1  0  0 -1 -1  0 -1  0 -1  0 -1
 -1  0 -1 -1  0 -1  0  0  0  0 -1 -1  0 -1 -1 -1 -1 -1 -1  0  0 -1  0  0
 -1  0 -1  0 -1  0  0 -1 -1 -1 -1  0 -1 -1]",0.9543325526932084,0.9543428876566157
