,preds,acc,f1
knn,"[-1  0 -1  1  1  1  0 -1  1  0 -1 -1 -1 -1  1  0  1  0  0  0 -1 -1 -1  1
  1  1  0 -1  0  1  0 -1  0 -1  0 -1 -1  0  0  0  0  0 -1 -1  0 -1 -1 -1
  0  0  0  1  0  1  1 -1 -1 -1  1  0 -1  0  0 -1 -1 -1  0  1 -1 -1  1 -1
  0 -1  0  0  0 -1  0  0  0  0  1  0  1 -1 -1 -1  0  1  0  1  0 -1 -1  0
  1 -1  1  0 -1  1 -1 -1 -1 -1  0 -1 -1  1 -1 -1  1  1  0 -1  1  0  0  0
  0 -1 -1  1  1 -1  0  0  1  0 -1  1  1  0  1  1  1  0 -1 -1 -1  0  0  1
 -1 -1 -1  0  1  1  0  1  1  1  0 -1 -1  1  1 -1  1  1 -1  1  0  1  1  0
 -1 -1  0 -1 -1  0 -1 -1  0  0  1 -1 -1  1  1 -1 -1 -1 -1 -1 -1  1  1 -1
 -1 -1  0 -1  0  1  1  1  1  0  0  1  1  1  0 -1  1  0  1 -1  1  0  1  0
  1 -1 -1  0  1  1  1  1  0  1  1  1 -1 -1 -1 -1  0 -1 -1  1 -1 -1  1  0
  1 -1  0 -1 -1  1 -1  1  1  1  0  1  0  1 -1 -1 -1  0  0  0  1  0  1 -1
  0 -1  1  0 -1 -1 -1  0  1 -1 -1 -1  0 -1  1  0 -1 -1 -1  0 -1  0  0 -1
  0 -1  0  0  0  0 -1  1  0 -1  1  1  0  0 -1  0  0  1  1 -1  1 -1 -1  0
  0 -1  1 -1  1 -1  1  1 -1  1  1  1 -1  1  1  0  1 -1 -1  0  0 -1  0  1
 -1  0 -1  0 -1  0  0 -1 -1  1  1 -1 -1  1 -1  1 -1 -1  0 -1  0  0  1  1
  1 -1  1  0 -1 -1  0  0  1  0 -1 -1  1 -1  1 -1  1  0 -1  1 -1  1  0  1
 -1 -1  0  0 -1 -1 -1  1  0  0 -1 -1 -1 -1 -1  0  1  0  0 -1  0  1  0 -1
  1 -1  1  0  0  0 -1 -1 -1  0  0  0 -1  1  1  0  0 -1 -1  1  1 -1 -1 -1
  1 -1 -1 -1 -1  0  0  0  1 -1  1  0 -1 -1  1  0 -1  0  1  1 -1  1 -1 -1
  0  1 -1  0 -1 -1 -1 -1  1  1 -1  0 -1 -1  1  0  1  1 -1 -1  0 -1  0  1
  1  0  0  1  0 -1 -1  1 -1  0  0 -1  1  0  1  1  0  1 -1 -1 -1 -1  0  1
  0 -1  1 -1  1  1 -1 -1  0 -1 -1  1 -1  0  0  0  1 -1  0 -1 -1  0  1  1
  1 -1  0  1  1  0 -1 -1  0  0 -1 -1  0  1  1  1  0  0  1  0  0  1 -1  0
 -1  0 -1  1  1  0  0  1  1  0  1 -1  0  0  0  0 -1  1  1 -1  1  0  0  1
 -1  0  1  1 -1 -1  1 -1 -1  1 -1 -1 -1  0  0  1  0  0 -1  1  0 -1  1  1
  1  1 -1 -1  1  0  1 -1  1  0 -1 -1 -1  0 -1  1  0  1 -1  0  0 -1  1  0
  0 -1  0  0  1  1  1 -1 -1  1  0 -1 -1  1  1  0  0  0 -1 -1 -1 -1 -1  0
  0  1  1  0 -1  1  0 -1  0 -1  0  1  0  0 -1  0 -1  1  0  0  0  0  1  1
  1 -1 -1  0  0  1  1  0  1 -1  0 -1  1 -1  1 -1 -1  1  0 -1 -1  0  1 -1
  0 -1  1  1 -1  0 -1  0 -1  0 -1 -1  1  0  0 -1  1  0  1 -1  0  1  0  1
 -1  0 -1  0  0 -1  0  1  0  0  0 -1  1  0 -1 -1  0 -1  0 -1  0  1 -1  1
  0  1  0 -1  0  0 -1 -1  0 -1  1  0  0 -1  0  1  1  0  0  1 -1 -1  0 -1
  0  1 -1  0 -1 -1  0 -1  0 -1 -1  1 -1  0  0  1 -1 -1  0 -1 -1  0  0 -1
 -1  1  1 -1  1  0  1  0  1 -1 -1 -1  1  1  0  0  0  0  1 -1  1  0  1 -1
  0 -1  1  1  0 -1  0  0 -1  0  0 -1  1  1 -1 -1 -1  1 -1  1  0  1  1  0
 -1  0  1 -1 -1  0  1  0  0  1 -1 -1 -1 -1 -1  0  0  0  0  0 -1 -1  1  0
  1 -1 -1  1  1  0  1  0 -1  0 -1  1 -1 -1  0  0  1  0  0  0  1  0  0  0
  1  1 -1  0  0  0  0  0  1 -1  1 -1  0 -1 -1  0 -1 -1  0  0 -1  1  1  0
 -1  1 -1  1  0  1  1  1  0  0  1  0  1 -1  0  0  0  1  1  0  0 -1  0 -1
 -1  0  0  1 -1 -1  1 -1 -1  0 -1  1 -1  1 -1  1 -1  0  1  1  0 -1  1 -1
  1 -1  1 -1  0  0 -1  0  0  0  0  1  0 -1 -1 -1  1  0 -1]",0.5791624106230848,0.579195934608538
mnb,"[ 0  1 -1  1 -1  1  1  1  1  0  0  0  0  0  0  1  1  0  0  0 -1  0  0  1
  1  1  0  1  0  1  0 -1  0  1  0 -1  0  0  0  0  0 -1 -1  0  1 -1 -1  0
 -1  0  0 -1  1  1  1 -1 -1 -1  1  1 -1  0  0 -1  1  1  0  1 -1  0  1 -1
  0  1  0 -1  0 -1  0  0  1  0 -1  0  1  1  1  0  1  1  0  0  0 -1  1  0
  1  1  1  0  0  1 -1 -1  0 -1  0 -1  1  1  0 -1  1  0  0  0  0  0  0  0
  0  0 -1 -1  1 -1  0  0  1  1 -1 -1  1  0  1  0  1  0  1 -1 -1  0  0  1
 -1 -1 -1  0 -1  1 -1  0  0  0  1  0 -1  1  1  0  1  1 -1 -1  0  0  0  0
 -1 -1  0  0 -1  0 -1  0  1  1 -1 -1 -1  1  1 -1 -1  0 -1  0 -1  1  1 -1
 -1  0 -1 -1  1  1  1  1  1  0  0  0  1  1  1  1  0  0  1  1  1  0  1  0
  1 -1 -1  1  1  1  0  1 -1 -1  1  1 -1 -1 -1 -1  0  0 -1  1  1  0  1  0
  0  1  0  0  0  0 -1  1 -1  1  0  0  0  0  1 -1 -1  1  0  0  1  0  0  0
  0 -1 -1  1 -1  1 -1  0  1  0 -1  0  0 -1  1  0 -1 -1  0  1  0  0  0 -1
  1  1  0  0  0  0 -1  0  0  0  1  0  0  1  0 -1  0  1  1 -1  1  0 -1  0
  0  0 -1 -1 -1 -1  1  1  1  1  1  1 -1  1  1  0  1  1 -1  0  1  1  0 -1
 -1  0 -1  0 -1  1  0 -1 -1  0  1  1  0  1 -1  0  0 -1  1 -1 -1  0  1 -1
  1  1  1  1 -1  0  0  0 -1  0 -1 -1  1  1  1  1  1 -1  1  1  0  1  1  1
  0 -1  0  0 -1 -1  0  1  1  0  1  1 -1  1 -1  0  1  0  0  1  0  1  1 -1
 -1 -1  1  0  0  1  0 -1  0  0  0  0 -1  1  1  0  0  1  0  1  1  1  1 -1
  0  0  1  1 -1  0 -1  0  1  0  1  0  0 -1  1  0  0  0  0  1  0  0 -1 -1
  0  0  0  0 -1 -1 -1 -1  1  0 -1  0 -1 -1  1  1 -1  1 -1 -1  0 -1 -1  0
  1  0  0  1  0  1  0  0 -1  0  0  0  0  0  1  1  1  0 -1  0 -1 -1  0  1
  0 -1  1 -1  1  1 -1  0  0 -1  1  1 -1  1  0  0  1  1  0 -1  0  1  0  1
  1  0  1  1  1  1 -1  1  0  0 -1  1  0  1  1  1  0  1  0  0  0 -1 -1  0
 -1  1  1  1  0  0  0 -1  1 -1  1 -1  0  0  0  0 -1  1  1 -1  1  1 -1  1
  1  0  1  1 -1 -1 -1  0 -1  1  0  0  1  0  0 -1  0  0 -1  1  0  0  0  1
  1  0 -1 -1  1  0  1 -1  1  1 -1  1 -1 -1  0  0  0 -1  1  0 -1  0 -1  1
  0 -1  0  0  0  1  1  0  0  0  0 -1 -1  1  1  0  0  0  0  0  1  0 -1  0
  0  1  0 -1  0  0 -1  0  0 -1 -1  1  0  0  0  0  0  1  0  1  1  1  1  1
  0  0 -1  1  0  0  0 -1  1 -1  0 -1  0  0  1 -1 -1  0  0  0  1  0  1  0
  1 -1  1  1 -1  0 -1  0  0  0 -1 -1 -1  0  0 -1  1  0  1 -1 -1  1  1  1
 -1  0  0  0  0  1  0  1  0  1  0 -1  1  0  1  1  0 -1  0  1  0  0 -1  0
  0  0  1  1  0  0 -1 -1  0  1  1  0  0  0  0  1  0  1  0  1  0 -1  0 -1
  0  1 -1 -1  1  1  0 -1  0 -1 -1 -1 -1  0  0  0 -1  1  0 -1  0 -1  1 -1
 -1  0  1 -1  1  0  1  0  1 -1  1 -1  1  0  0  1  0  0  1  0  1  0  1 -1
  1 -1  0  1  1  0  0  0  0  0  0  0  1  1 -1  0  1  1  1 -1  0  0  1  1
  1  0  0 -1 -1  0  1  0  0  1 -1  0 -1 -1 -1  1 -1  0  0  0  0 -1 -1  0
  1 -1  0  1  0  0  0  0  1 -1  0  0  1 -1  0  0  1  0 -1  0  1 -1  0  0
  0  1 -1  0  0  0  0  0  1  0  1 -1  0 -1 -1  1 -1  0  1  1 -1 -1  1  0
 -1 -1  0  0  0 -1  1  1  0  0  0  0  0  0  0  0  1  1  1  0  0  1  0  0
  1  1  0  1 -1  0  0  1  0  0  0  0  1  1  1  0 -1  0  1  1  0 -1  1  1
  1  1 -1  0  0  0  1  0  0  0  0  1  0 -1 -1  0  0 -1  0]",0.7344228804902962,0.7353223907670567
svm,"[ 0  1 -1 -1 -1  1  1  1  1  0 -1 -1 -1  0  0  0  1  0  0  0 -1  0 -1  1
  0  1  0 -1  0  1 -1 -1  0  1  0 -1  0  0  0  0  0 -1 -1 -1  0 -1 -1 -1
  0  0 -1 -1  1  1  1 -1 -1 -1  1  1 -1  0  0 -1  1 -1  0  1 -1 -1  1 -1
  0 -1 -1 -1  0 -1 -1  0  1  0 -1  0  1 -1  1  0  1  1  0  0  0 -1  1  0
 -1  1  1  0  0  1 -1 -1  1 -1  1 -1 -1  1  0 -1  1  1  0  0  0  0  0  0
  0 -1 -1 -1  1 -1  0  0  1  0 -1  1  1  0  1 -1  1 -1 -1 -1 -1  0  0  1
 -1 -1  1  0 -1  1 -1  0 -1  1  1 -1 -1  1  1 -1  1  1 -1 -1  0  0  0 -1
 -1 -1  0 -1 -1  0 -1  0 -1  1  1 -1 -1  1  0 -1 -1 -1 -1  0 -1  1  1 -1
 -1  0 -1 -1  0  1  1 -1  1  0 -1  1  1  1  0  1  1  0 -1  1 -1  0  1  0
  1 -1 -1  1  1  1 -1  1 -1 -1  1  1  1 -1 -1  0  0  0 -1  1  1  0  1  0
  1  1  0  0 -1  0 -1 -1 -1 -1  0  0  0  1  1 -1 -1  1 -1  0  1  1  0 -1
  1 -1 -1  1 -1  1 -1  1  1  0 -1 -1  0 -1  1  0 -1 -1 -1  1 -1  0  0 -1
 -1  1  0  0  0  0 -1  0  0  0  1  1  0  1  0 -1  0  0  1 -1  1  0 -1 -1
  0 -1 -1 -1 -1 -1  1  1  1  1  1  1 -1  1  1 -1  1 -1 -1  0  0  1  0 -1
  0  1 -1  0 -1 -1 -1 -1 -1 -1  1  0  0  1 -1 -1 -1 -1  1 -1 -1  0  1 -1
  1  1  1  0 -1 -1  0 -1 -1  0 -1 -1  1 -1  1  1  1 -1 -1  1 -1 -1 -1 -1
 -1 -1 -1  0 -1 -1  0 -1  0  0 -1 -1 -1  1 -1  0  1  0 -1  1 -1  1  1 -1
  1 -1  1  0  0  0  1 -1 -1  0  0  0 -1  1  1  0  0 -1 -1  1  1 -1  1 -1
  1  0 -1  1 -1  0 -1 -1 -1 -1 -1  0 -1 -1  1  0  0  0  0  0  0  0 -1 -1
  0 -1  0  0 -1 -1 -1 -1  1  1 -1  0 -1 -1 -1  1 -1  1 -1 -1  0 -1 -1 -1
  1  0  0  1  0  1  0  1 -1  0  0  0  1  0  1  1 -1  0 -1  0 -1 -1  0  1
  0 -1  1 -1  1  1 -1 -1 -1 -1  1  1 -1 -1  0  0  1 -1  0 -1  1  1  1  1
  1  0  0  1  1 -1 -1  1 -1  0 -1  1  0  1  1  1  0 -1 -1  0  0  1  0  0
 -1  1 -1  1  0 -1  0 -1  1  1  1 -1  0  0  0  0 -1  1  1 -1  1  1 -1 -1
  1  0  1  1 -1 -1 -1  0 -1  1 -1 -1 -1  0  0 -1  1 -1 -1 -1  0  0  1  1
 -1 -1 -1  1  1  0  1 -1  1  1 -1 -1 -1 -1 -1  1  0  1 -1  0 -1 -1 -1  1
  0 -1  0  0  0  1  1  0  1  0  0 -1 -1  1  1  0  0  0  0  0 -1  0 -1  0
  0 -1  1  0  1  0 -1  0 -1 -1 -1  1  0  0  0  0 -1  1  0 -1  0 -1 -1  1
  1 -1 -1  0  0 -1  0 -1  1 -1  0 -1  0 -1  0 -1 -1  1  0 -1  0  0  1 -1
  0 -1 -1  1 -1  0 -1  0 -1  0 -1 -1 -1  0  0 -1  1  0  1 -1 -1  0  1  1
 -1  0 -1 -1 -1  1  0 -1  0  1  0 -1  1  0 -1  1  0 -1  0 -1  0  1 -1 -1
 -1  0  0 -1  0  0 -1 -1  0 -1  1  0  0  0  0  1  1 -1  0  1  0 -1  0 -1
  0  1 -1  0  1  1  0 -1  0 -1 -1 -1 -1 -1  0 -1 -1 -1  0 -1  0  0  1 -1
 -1 -1  1 -1 -1  0  1 -1  1 -1 -1 -1  1  1  0  0  0  0  1  0  1  0  1 -1
 -1 -1  1  1  1  0 -1  0 -1  0 -1  0  1  1 -1  0  0  1  0 -1  0  0  1  1
  1 -1  1 -1 -1  0  1  0  0 -1 -1 -1 -1 -1 -1  1  0  0  0  0  0 -1 -1  0
  1 -1 -1  1  0  0  1  0  1 -1 -1 -1 -1 -1  0  0  1  0 -1  0  1  0  0  0
  1  1 -1  0  0  0  0  0  1  0  1 -1  0 -1 -1  1 -1 -1  0  1 -1 -1  1  1
 -1  1  0  0  0 -1 -1 -1  0  0  0 -1 -1 -1  0  0  0 -1  1  0  0  1  0  0
 -1 -1  0  1 -1  0  0 -1  1 -1 -1  1  0  1  0  1 -1  0  1  1  0 -1  0 -1
  1  0 -1  0  0 -1  1  0  0  0  1 -1  0 -1  0  0  1 -1 -1]",0.6813074565883555,0.6818576337632314
tree,"[-1  1 -1  0  0 -1 -1 -1  1  1 -1  0  1  0  0  1  1  0 -1 -1 -1  1 -1  1
  1  1 -1  0 -1  1  0  1  1  1  1 -1  0  0  0  0  0 -1 -1 -1  0 -1 -1  0
  1  1  0  1  1  0  1 -1 -1 -1  1  0  1  0  0  1  1  1 -1  1 -1  1  1 -1
 -1  1 -1  0  0  0  0  0  1  0  1  0  1 -1  1 -1  1  0  1  1  1 -1  1  0
  0  1  1  0  0 -1 -1 -1  0 -1  1 -1  0  1 -1  0  1  1 -1  0  0  1  1  0
  0  1 -1 -1  1 -1  0  0  1 -1  0 -1  0  0  1  1 -1 -1  1  1 -1  0  1  1
 -1 -1  1  1 -1  1  1  0 -1  0 -1  0  1  1  1 -1  1  1 -1  0  1  1  1 -1
 -1 -1  0 -1  0  0  0 -1  1  1  1 -1 -1  1 -1 -1 -1 -1  0  0 -1  1  0  0
 -1  1  1  1  1  1  1  1  0 -1  1 -1  1  1  1  1  1  0  1  1  0  0  1 -1
  1 -1 -1  0  1  1 -1  1 -1 -1  1  1 -1 -1  0 -1  0  0 -1  0  1  1  1  0
  1  1  0  0  1  1  1 -1  1 -1  0  1  0  1  1  1 -1 -1  0  0  1  1 -1  0
  1  0 -1  1  1  1  1  1  0  0  0  0  0 -1  1  0  0  1  0  1 -1  1  0 -1
  0  0  0 -1 -1 -1  1 -1  1  0  1 -1  0  1  1 -1  0  1  1 -1  1  1  0  0
  1  0  1  0 -1 -1  1  1  1  1  1  1 -1  1  1  0  1  1 -1  0  1  1  1  0
 -1  1  1  1  1  1  1  0 -1 -1  1  1  0  1 -1  0  0  1  1 -1 -1  0  0 -1
 -1  1  1 -1 -1  0  0  0  0 -1 -1  1  1  1  1  1 -1 -1  1  1  0  0 -1  0
  0 -1  0  0  1 -1  0  1 -1  0  0  1 -1  1 -1  1  1 -1 -1 -1 -1  1 -1 -1
 -1 -1  1  0  1  1  1 -1  1 -1  0  0  0  1  0  0  0 -1  1 -1  1  1  1  1
  1  1  1  0  0  0  1  0 -1 -1 -1 -1 -1  1  1  0  0  0  0  0  0  0 -1  1
  1  0  0 -1  1 -1 -1 -1  1  1 -1  0 -1  0  1  1 -1  1  0 -1  0 -1 -1  1
 -1  0 -1  1  0  1 -1  0 -1  0 -1 -1  1  1  1  1  0  0 -1 -1 -1 -1  1  1
 -1 -1  1 -1  1  1  1 -1  0  1 -1  1 -1 -1  0 -1  0  1  0 -1  0  1  1  1
  1 -1  1  1  1 -1 -1  1 -1  0  1  0 -1  1  1  1  0  1  0  0  0 -1  1  0
 -1  0  1  1  0  0 -1 -1  1  1  1 -1  0  1  0  0 -1  1  1 -1  1  1  0  0
  1  0  1  1 -1 -1 -1  1 -1  1  0  1 -1  0  0  0  1  0 -1 -1 -1  0  1  1
  1 -1 -1 -1  0  0  1 -1  1  1 -1 -1 -1  1  1  0  1  0  1  0 -1  0 -1 -1
  0 -1  1 -1  0  0  1  0 -1  0  0 -1 -1  1  0  0  0  0  0 -1  1  0  1  0
  0  0  0  1  0 -1 -1  1 -1  1 -1  1 -1  1  1  0  0  1  1  1 -1  1  0  1
  1  0 -1  0  0  1  1  1  1 -1  0  0  0  0  0 -1 -1  1 -1 -1 -1 -1  0  1
  0  0 -1  1 -1 -1 -1  0  0  0 -1 -1 -1  0  0  0  1  0  1 -1 -1  1  1  0
  1 -1  1  1  0  1  1  1 -1  1  1 -1  1  0  1  1  1  0  0  1  0  0 -1 -1
 -1  1  1  1  0  0 -1 -1  0  1  1  0  0  0  0  1 -1  0  0  1  0 -1  0 -1
  0  1 -1  0  1  1  0 -1  0  0 -1  0 -1 -1 -1  0 -1  1  0 -1 -1 -1  1 -1
 -1  1  1 -1  1 -1  1  1  1 -1  1 -1  0 -1  1  1  0  0 -1  0  1 -1 -1 -1
  1  1  1  1  0 -1 -1  1 -1 -1 -1  1  1  1 -1  0  0  1  1  0 -1  1  1  1
  1  0  0  1 -1  0  1  0  0  0  0 -1 -1 -1 -1  1 -1  0  0  0  0 -1  1  0
  0 -1 -1 -1  0  0  0  1  1 -1  0  0 -1 -1 -1  0  1 -1 -1  0  1 -1  0  0
 -1  1 -1  0  0  0  1 -1  1 -1  1 -1 -1 -1  1  1 -1  1 -1  1 -1  0  1  1
 -1  0  0  0 -1 -1  1  0  0  1  1  0  0  0  0 -1  1 -1  1  1  0  0  0 -1
  1  1 -1  1  1  0 -1 -1  1  1 -1  1 -1  1 -1  1  0 -1  1  1  0  1  1  0
  1  1 -1 -1  0 -1 -1  0  0  1  1  1  1 -1 -1  0  1 -1  0]",0.7436159346271706,0.7435324802005729
