id,title,release_at,news_type.name,keyword_dpp,keyword_han,keyword_kmt,keyword_tsai,url
KwnKMA8BaY,韓國瑜的副手確定了？周錫瑋親自回應了,2019-10-04 16:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/KwnKMA8BaY
rbW4yRwgaL,韓國瑜民調低是假的？黃暐瀚這樣看,2019-10-04 16:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/rbW4yRwgaL
4bnb6m2EnP,《翻爆午間精選》韓國瑜臉書批蔡 不是守護台灣是詐騙,2019-10-04 14:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/4bnb6m2EnP
byWj4eVMxY,韓國瑜面容慘遭毒手 韓粉氣炸：太沒品了,2019-10-04 12:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/byWj4eVMxY
gzae5BZjam,林濁水不停黑韓 他反嗆：有些人為嘲諷韓國瑜而活！,2019-10-04 12:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/gzae5BZjam
2BnE16OrnJ,蔡英文南下屏東拜廟被問韓國瑜 回嗆超狠,2019-10-04 12:01:02,政治要聞,0,1,0,1,https://ctinews.com/news/items/2BnE16OrnJ
kYaDVQONn9,韓國瑜臉書批蔡 不是守護台灣是詐騙,2019-10-04 12:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/kYaDVQONn9
Q8n85zGpWo,韓國瑜和馬英九差別 她嘆：就在臨門一腳,2019-10-04 12:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/Q8n85zGpWo
M9n6pyd9aR,留校察看無用？李正皓：韓國瑜正在逼宮吳敦義,2019-10-04 09:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/M9n6pyd9aR
qXWQzDQraR,大選決戰百日 韓國瑜激昂：為百姓做到掛為止,2019-10-04 03:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/qXWQzDQraR
14a1jrbYxk,韓國瑜民調低？她跑基層只嗆一句話,2019-10-04 03:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/14a1jrbYxk
gOnLL5qKnk,韓國瑜民調為何一路輸 李明賢找到原因了,2019-10-04 03:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/gOnLL5qKnk
dynyBoMMWZ,【影】【旺董 - 蔡衍明 Q＆A 10】韓國瑜要改變自己 別求果凍來會面,2019-10-03 23:50:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/dynyBoMMWZ
v7x3ZV4oaj,韓國瑜滅頂？趙少康：民調不一定準,2019-10-03 22:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/v7x3ZV4oaj
KwnKMA2XaY,怎會變成這樣？ 趙少康出招救韓國瑜民調,2019-10-03 20:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/KwnKMA2XaY
57nGdJrVWk,「韓朱配」有望？葉元之任韓發言人 朱立倫回這一句,2019-10-03 18:10:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/57nGdJrVWk
8knJg2qgWo,選前百日 韓國瑜喊話別氣餒：民調仍強大,2019-10-03 16:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/8knJg2qgWo
q9WPY8mGam,選前100天 韓國瑜：副手、訪美行程還沒確定,2019-10-03 16:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/q9WPY8mGam
qXWQzDmjaR,命理師唱衰韓國瑜 謝寒冰有新解！,2019-10-03 16:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/qXWQzDmjaR
M9n6py1GaR,斷言韓國瑜選情沒救！鳥卦命理師冒出這番話 網笑翻,2019-10-03 15:01:07,政治要聞,0,1,0,0,https://ctinews.com/news/items/M9n6py1GaR
14a1jrMRxk,韓國瑜說出這話後 網友全暴動了！,2019-10-03 13:01:07,政治要聞,0,1,0,0,https://ctinews.com/news/items/14a1jrMRxk
4OaZwPqox6,訪美行 韓國瑜：尚未完全定案,2019-10-03 13:01:07,政治要聞,0,1,0,0,https://ctinews.com/news/items/4OaZwPqox6
MyWk0j4la6,輾壓政壇！這份民調 韓國瑜竟奪冠,2019-10-03 13:01:07,政治要聞,0,1,0,0,https://ctinews.com/news/items/MyWk0j4la6
JpnqvZmMWM,孫大千點出三問題 質疑韓國瑜遭報私仇！,2019-10-03 11:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/JpnqvZmMWM
rbW4yRBoaL,高雄怎辦？焦慮女網友給韓國瑜的一封信！,2019-10-03 09:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/rbW4yRBoaL
GVxo5Qv8W8,韓國瑜民調回溫藏玄機？賴祥蔚給出兩項重要啟示,2019-10-03 09:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/GVxo5Qv8W8
57nGdJ3ZWk,韓國瑜民調回溫藏玄機？賴祥蔚給出兩項重要啟示,2019-10-03 08:33:52,政治要聞,0,1,0,0,https://ctinews.com/news/items/57nGdJ3ZWk
pRnYkd59aY,他挺韓國瑜卻遭黨中央「拔掉」 名嘴驚爆原因,2019-10-03 07:20:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/pRnYkd59aY
p5W9D4RYno,美國南加大學者今拜訪韓國瑜　邀赴美演講,2019-10-02 23:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/p5W9D4RYno
MyWk0jX0a6,韓國瑜民調為何從谷底回升 被爆跟他有關,2019-10-02 19:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/MyWk0jX0a6
gGaMy0VlaK,港警開槍 韓國瑜希望香港趕快穩定,2019-10-02 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/gGaMy0VlaK
14a1jrdoxk,最新民調出爐 韓國瑜支持度竟大漲 網驚呼：穩了！,2019-10-02 17:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/14a1jrdoxk
vNWOvOZXnw,「新北媳婦」李佳芬6日狂掃韓國瑜故鄉,2019-10-02 15:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/vNWOvOZXnw
4bnb6mV9nP,當韓國瑜副手？張善政：考量對韓有無幫助,2019-10-02 12:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/4bnb6mV9nP
q9WPY8LJam,要不是因為「他」...綠老將：蔡英文還能跟韓國瑜玩嗎？,2019-10-02 10:01:02,政治要聞,0,1,0,1,https://ctinews.com/news/items/q9WPY8LJam
qXWQzD12aR,穿雲箭？網曝韓國瑜選情需這幾招逆轉 ！,2019-10-02 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/qXWQzD12aR
ogxwA56qWG,韓國瑜民調將續跌？孫大千看出端倪,2019-10-02 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/ogxwA56qWG
byWj4eAwxY,阿扁黨慶後猛批韓…驚人內幕竟曝光！,2019-10-02 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/byWj4eAwxY
gzae5Brqam,馬天龍、韓魯蛇？網嘆：人性啊！,2019-10-02 10:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/gzae5Brqam
4bnb6moKnP,馬英九5日研討芒果乾 為韓國瑜指點勝選明燈,2019-10-01 22:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/4bnb6moKnP
GVxo5QXgW8,最新民調：蔡英文勝韓國瑜12％   朱為韓副手可拉近差距,2019-10-01 18:01:02,政治要聞,0,1,0,1,https://ctinews.com/news/items/GVxo5QXgW8
yDa2ypzgWK,韓國瑜民調落後 曾永權：候選人戰鬥力強 大家有勝選決心,2019-10-01 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/yDa2ypzgWK
m0x7DmZknv,爭取中央補助橋頭科學園區道路 立委：對韓國瑜沒信心,2019-10-01 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/m0x7DmZknv
M9n6pyzraR,謝文進將率先成立竹市韓國瑜庶民後援會,2019-10-01 18:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/M9n6pyzraR
GVxo5QG4W8,議員質疑創業基金未到位　韓國瑜盼多給祝福,2019-10-01 14:01:01,政治要聞,0,1,0,0,https://ctinews.com/news/items/GVxo5QG4W8
JpnqvZOeWM,韓國瑜還能重演去年逆轉勝？網道破關鍵冷回,2019-10-01 11:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/JpnqvZOeWM
zMW5dGeJnN,黑韓恐遭處開除 李正皓臉書驚見1450帶風向？,2019-10-01 09:01:02,政治要聞,0,1,0,0,https://ctinews.com/news/items/zMW5dGeJnN
